Acronym, ID, redgreenblue
AHN, 88, 2557662
AHNa, 700, 2557662
AHNc, 708, 2557662
AHNd, 716, 2557662
AHNp, 724, 2557662
MBO, 331, 2557662
LM, 210, 2557662
MM, 491, 2557662
Mmme, 732, 2557662
Mml, 606826647, 2557662
Mmm, 606826651, 2557662
Mmp, 606826655, 2557662
Mmd, 606826659, 2557662
SUM, 525, 2557662
SUMl, 1110, 2557662
SUMm, 1118, 2557662
TM, 557, 2557662
TMd, 1126, 2557662
TMv, 1, 2557662
MPN, 515, 2557662
MPNc, 740, 2557662
MPNl, 748, 2557662
MPNm, 756, 2557662
PMd, 980, 2557662
PMv, 1004, 2557662
PVHd, 63, 2557662
PVHdp, 439, 2557662
PVHf, 447, 2557662
PVHlp, 455, 2557662
PVHmpv, 464, 2557662
VMH, 693, 2557662
VMHa, 761, 2557662
VMHc, 769, 2557662
VMHdm, 777, 2557662
VMHvl, 785, 2557662
PH, 946, 2557662
LZ, 290, 2427259
LHA, 194, 2427259
LPO, 226, 2427259
PST, 356, 2427259
PSTN, 364, 2427259
PeF, 576073704, 2427259
RCH, 173, 2427259
STN, 470, 2427259
TU, 614, 2427259
ZI, 797, 2427259
A13, 796, 2427259
FF, 804, 2427259
ME, 10671, 2427259
MB, 313, 255100255
MBsen, 339, 255122255
SCs, 302, 255122255
SCop, 851, 255122255
SCsg, 842, 255122255
SCzo, 834, 255122255
IC, 4, 255122255
ICc, 811, 255122255
ICd, 820, 255122255
ICe, 828, 255122255
NB, 580, 255122255
SAG, 271, 255122255
PBG, 874, 255122255
MEV, 460, 255122255
SCO, 599626923, 255122255
MBmot, 323, 255144255
SNr, 381, 255144255
VTA, 749, 255144255
PN, 607344830, 255144255
RR, 246, 255144255
MRN, 128, 255144255
MRNm, 539, 255144255
MRNmg, 548, 255144255
MRNp, 555, 255144255
SCm, 294, 255144255
SCdg, 26, 255144255
SCdw, 42, 255144255
SCiw, 17, 255144255
SCig, 10, 255144255
SCig-a, 494, 255144255
SCig-b, 503, 255144255
SCig-c, 511, 255144255
PAG, 795, 255144255
PRC, 50, 255144255
INC, 67, 255144255
ND, 587, 255144255
Su3, 614454277, 255144255
PRT, 1100, 255144255
APN, 215, 255144255
MPT, 531, 255144255
NOT, 628, 255144255
NPC, 634, 255144255
OP, 706, 255144255
PPT, 1061, 255144255
RPF, 549009203, 255144255
InCo, 549009207, 255144255
CUN, 616, 255144255
RN, 214, 255144255
III, 35, 255144255
MA3, 549009211, 255144255
EW, 975, 255144255
IV, 115, 255144255
Pa4, 606826663, 255144255
VTN, 757, 255144255
AT, 231, 255144255
LT, 66, 255144255
DT, 75, 255144255
MT, 58, 255144255
SNl, 615, 255144255
MBsta, 348, 255144255
SNc, 374, 255166255
PPN, 1052, 255166255
RAmb, 165, 255166255
IF, 12, 255166255
IPN, 100, 255166255
IPR, 607344834, 255166255
IPC, 607344838, 255166255
IPA, 607344842, 255166255
IPL, 607344846, 255166255
IPI, 607344850, 255166255
IPDM, 607344854, 255166255
IPDL, 607344858, 255166255
IPRL, 607344862, 255166255
RL, 197, 255166255
CLI, 591, 255166255
DR, 872, 255166255
HB, 1065, 255155136
P, 771, 255155136
P-sen, 1132, 255174111
NLL, 612, 255174111
NLLd, 82, 255174111
NLLh, 90, 255174111
NLLv, 99, 255174111
PSV, 7, 255174111
PB, 867, 255174111
KF, 123, 255174111
PBl, 881, 255174111
PBlc, 860, 255174111
PBld, 868, 255174111
PBle, 875, 255174111
PBls, 883, 255174111
PBlv, 891, 255174111
PBm, 890, 255174111
PBme, 899, 255174111
PBmm, 915, 255174111
PBmv, 923, 255174111
SOC, 398, 255174111
POR, 122, 255174111
SOCm, 105, 255174111
SOCl, 114, 255174111
P-mot, 987, 255186134
B, 280, 255186134
DTN, 880, 255186134
LTN, 283, 255186134
PDTg, 599626927, 255186134
PCG, 898, 255186134
PG, 931, 255186134
PRNc, 1093, 255186134
PRNv, 552, 255186134
SG, 318, 255186134
SSN, 462, 255186134
SUT, 534, 255186134
TRN, 574, 255186134
V, 621, 255186134
P5, 549009215, 255186134
Acs5, 549009219, 255186134
PC5, 549009223, 255186134
I5, 549009227, 255186134
P-sat, 1117, 255195149
CS, 679, 255195149
CSl, 137, 255195149
CSm, 130, 255195149
LC, 147, 255195149
LDT, 162, 255195149
NI, 604, 255195149
PRNr, 146, 255195149
RPO, 238, 255195149
SLC, 350, 255195149
SLD, 358, 255195149
MY, 354, 255155205
MY-sen, 386, 255165210
AP, 207, 255165210
CN, 607, 255165210
CNlam, 112, 255165210
CNspg, 560, 255165210
DCO, 96, 255165210
VCO, 101, 255165210
DCN, 720, 255165210
CU, 711, 255165210
GR, 1039, 255165210
ECU, 903, 255165210
NTB, 642, 255165210
NTS, 651, 255165210
NTSce, 659, 255165210
NTSco, 666, 255165210
NTSge, 674, 255165210
NTSl, 682, 255165210
NTSm, 691, 255165210
SPVC, 429, 255165210
SPVI, 437, 255165210
SPVO, 445, 255165210
SPVOcdm, 77, 255165210
SPVOmdmd, 53, 255165210
SPVOmdmv, 61, 255165210
SPVOrdm, 45, 255165210
SPVOvl, 69, 255165210
Pa5, 589508451, 255165210
z, 789, 255165210
MY-mot, 370, 255179217
VI, 653, 255179217
ACVI, 568, 255179217
VII, 661, 255179217
ACVII, 576, 255179217
EV, 640, 255179217
AMB, 135, 255179217
AMBd, 939, 255179217
AMBv, 143, 255179217
DMX, 839, 255179217
ECO, 887, 255179217
GRN, 1048, 255179217
ICB, 372, 255179217
IO, 83, 255179217
IRN, 136, 255179217
ISN, 106, 255179217
LIN, 203, 255179217
LRN, 235, 255179217
LRNm, 955, 255179217
LRNp, 963, 255179217
